Hg:2-N:2-O:1-X:2	O:Hg:C	1130:3008:2726	1879:1818:1855
C:8-H:3-N:1-O:2-X:2	Cl:Br:H	2869:2870:2049	1801:1910:1942
H:18-O:17-S:2-X:1	Th:U	1567:3305	1793:1796
C:8-H:17-X:1	Br:H:I:N	6264:4836:5888:3445	1726:1857:1760:1858
H:4-Na:1-O:5-X:1	As:P	802:778	1810:1857
C:1-H:4-N:2-O:2-X:1	Hg:C	5542:1510	1897:1747
C:5-H:4-N:1-O:2-X:3	H:N	5579:2707	1874:1760
C:1-H:4-N:2-O:2-X:2	H:C	130:7719	1993:1730
Br:1-Fe:1-X:1	Br:Hg	1639:1669	1986:1741
C:2-H:5-N:1-O:2-X:2	N:O:C:H	13:2717:2198:704	1940:1950:1877:1979
C:12-H:13-X:1	N:H	6428:2934	1939:1982
F:6-K:2-X:1	Si:Ti:Zr	901:7372:1015	1925:1905:1714
H:12-N:7-O:10-Pt:1-X:1	H:N	4977:9942	1931:1888
C:3-Cl:3-O:2-X:3	Cl:H	4225:4222	1972:1911
C:4-H:4-N:1-X:1	N:H	7715:6833	1749:1707
C:9-H:11-N:3-O:1-X:3	C:O	8560:10664	1738:1889
H:8-N:2-Os:1-X:6	Cl:Br:I	4528:4536:4576	1853:1804:1878
C:9-H:11-N:3-X:4	O:H	10664:4468	1889:1878
C:16-H:14-N:2-X:4	O:H	4894:6992	1772:1964
C:16-H:14-N:2-X:6	O:H	9274:7629	1891:1908
Al:2-O:12-X:3	S:Se	309:655	1783:1780
C:6-H:14-O:2-X:1	O:C	9194:3084	1916:1948
C:4-H:4-O:1-X:2	O:H	2199:7097	1735:1934
C:12-H:11-N:1-X:2	H:N:C	6428:8157:2465	1939:1938:1999
C:6-H:14-O:2-X:2	O:C	8570:9210	1865:1778
C:4-H:4-Cd:1-O:4-X:2	H:O	2429:6562	1742:1734
C:6-H:14-O:2-X:4	O:C	3836:5940	1790:1887
C:9-H:8-N:2-X:6	H:O	8442:6419	1851:1709
H:12-O:6-S:1-X:2	Na:O	9775:3513	1842:1956
Cl:1-I:1-X:1	Hg:Sn	2347:4113	1908:1778
N:1-V:1-X:1	V:N	6871:10873	1823:1947
Cr:1-O:9-X:3	N:Br	607:3265	1833:1910
Br:2-O:6-X:1	Mn:Ni:Pb:Pd:Sr:Cd:Zn:Ca:Ba:Mg:Hg	3213:3324:1183:3338:5586:3168:2987:2986:1103:2212:3186	1843:1833:1999:1984:1721:1979:1950:1831:1986:1786:1867
C:6-H:2-Br:2-X:2	Br:H	8952:6713	1794:1772
B:4-Mg:6-O:21-X:6	Fe:Cr	5164:5206	1782:1802
C:2-H:7-O:2-X:1	As:B:N	3082:8379:704	1804:1838:1979
C:4-H:4-Br:2-O:1-X:2	C:O	3852:8939	1873:1915
C:4-H:8-O:3-S:1-X:2	O:H	6392:7248	1810:1845
Cl:1-Sn:1-X:1	I:Cl	4113:49	1778:1973
C:4-H:4-K:1-O:4-X:1	K:H	2438:2175	1763:1818
C:6-H:1-Cl:1-X:4	Cl:H	10594:2844	1938:1852
C:10-H:12-O:6-X:2	C:H	6989:2564	1723:1977
C:8-H:8-O:1-X:1	O:C	2197:2038	1812:1719
C:2-H:1-Li:1-X:4	O:H	6810:7311	1945:1964
C:8-H:8-O:1-X:2	O:N:C:H:Cl	1942:9745:2188:4915:4655	1903:1907:1753:1985:1966
C:10-H:12-O:6-X:6	C:H	3452:8409	1819:1956
C:2-H:3-O:5-X:1	Na:Li	4903:729	1881:1723
C:5-H:10-N:2-O:2-X:1	C:O	9723:4623	1773:1869
C:5-H:10-N:2-O:2-X:3	C:O	11209:7605	1902:1831
C:12-H:7-N:3-X:4	Br:Cl:H	8438:8562:8157	1941:1885:1938
C:6-H:4-O:4-Pb:1-X:2	H:C:O	6235:4703:3873	1966:1957:1733
C:7-H:5-N:2-O:4-X:1	N:H	7305:3093	1747:1724
C:4-H:6-N:2-O:4-X:2	H:N	5268:6458	1813:1820
C:8-H:4-O:4-X:1	Pb:Ba	4703:11306	1957:1960
C:8-H:4-O:4-X:2	Ag:H	8474:1925	1882:1783
C:4-H:6-N:2-O:4-X:6	H:C	1551:3888	1824:1881
Na:3-O:3-X:1	B:Al:Sb	7723:6541:9788	1721:1935:1727
Fe:1-X:1	N:O:P:S:As:B:Se:Sn	5361:1084:6304:330:2357:4132:654:6877	1814:1713:1844:1750:1912:1711:1996:1828
H:3-N:1-O:3-S:1-X:1	Zn:O:Cd	4196:3907:4212	1940:1921:1996
Fe:1-X:2	Br:Cl:C:Se:Al:F:I:S	1639:424:4444:641:7392:8597:505:109	1986:1729:1911:1762:1996:1728:1761:1787
Fe:1-X:3	F:I:Br:Cl	908:9371:10759:351	1899:1989:1881:1968
Cl:1-X:1	Br:Ag:Cs:Cu:Hg:Cl:In:H:I:K:O:Li:Na:Pd:Rb:Tl:Au	1235:103:4689:47:124:97:10291:20:499:255:2173:1638:48:3448:4688:8207:2452	1936:1971:1796:1865:1746:1986:1943:1951:1869:1838:1917:1876:1852:1968:1838:1900:1982
Cl:1-X:2	Na:K:O	8638:8627:92	1966:1780:1707
I:3-Si:1-X:1	H:I	6533:6780	1811:1724
Cu:2-S:7-X:2	As:P	1063:3629	1867:1974
C:18-H:20-N:2-X:5	O:C	5340:8436	1949:1968
C:2-H:4-N:1-O:1-X:1	Cl:H:Ag	6820:4255:6639	1775:1847:1949
H:2-Hg:1-K:1-O:1-X:3	Cl:I	1607:1305	1811:1788
C:2-H:4-N:1-O:1-X:3	H:Cl	8528:6942	1934:1866
H:6-N:2-O:1-X:1	Pt:Zn	3827:9037	1945:1786
F:6-H:2-X:1	Si:Ti	273:1021	1788:1935
Fe:1-O:2-X:2	Ag:H:O	6534:196:9409	1957:1872:1983
C:4-H:3-Br:1-X:4	H:O	9540:7984	1751:1830
C:2-H:7-N:2-X:1	Cl:H:N	6754:7075:5906	1818:1939:1827
C:4-Cl:2-O:2-X:6	H:Cl	3843:2807	1746:1976
Cd:1-H:4-O:2-X:2	Cl:Br	5791:3210	1860:1957
H:2-O:5-Sr:1-X:2	N:C	1811:6770	1728:1848
C:10-H:16-O:3-X:1	C:O	11243:8	1869:1968
Cl:1-Pt:1-X:3	I:Cl	2239:1386	1942:1982
C:10-H:16-O:3-X:2	C:H	2824:5362	1906:1839
O:2-Zn:1-X:2	Cl:H	783:701	1725:1804
Cl:4-O:3-X:2	N:S	4125:5001	1719:1970
C:11-H:18-O:6-X:1	C:O	2925:5924	1966:1770
C:10-H:16-O:3-X:6	C:H	7627:2947	1887:1765
C:9-H:10-O:3-S:1-X:2	O:H	6748:3095	1956:1897
C:7-H:13-O:2-X:1	N:H	10064:3084	1793:1948
C:7-H:4-Cl:1-O:3-X:1	H:Cl	3853:3857	1815:1990
C:9-H:8-Cl:1-X:1	H:N	7081:6476	1994:1986
H:8-N:2-S:2-X:3	S:O	3030:898	1843:1753
C:7-H:12-N:1-O:1-X:3	N:H	10273:6008	1909:1729
H:8-N:2-S:2-X:5	S:O	3025:3731	1861:1846
C:6-H:7-Br:1-O:2-X:2	H:C	5912:3923	1890:1952
C:12-H:22-O:3-X:8	C:O	5719:306	1867:1912
B:4-O:7-X:2	Na:K	1545:8968	1774:1975
Cr:1-H:4-O:6-X:1	Ca:P	8285:5636	1980:1805
H:3-O:5-Zn:1-X:1	As:P	9130:2732	1710:1777
C:14-H:12-O:4-X:2	N:C:H	4888:6218:6819	1919:1839:1735
C:1-H:1-Br:1-X:1	C:O	7999:9234	1801:1965
C:1-H:1-Br:1-X:2	H:Br	2711:1921	1850:1784
C:8-H:5-N:4-O:6-X:1	N:H	725:2697	1803:1749
C:4-H:5-Br:1-O:1-X:3	C:O	2582:7987	1967:1723
C:5-H:7-N:1-O:4-X:2	C:H	5527:5283	1854:1802
Ca:1-H:1-O:4-X:1	As:P	7475:737	1979:1902
C:18-Fe:4-N:18-X:3	Fe:Os	739:7914	1956:1781
C:4-H:5-N:1-O:6-S:1-X:2	C:N	10635:2684	1995:1990
Cr:2-H:4-K:2-O:10-X:1	Mg:Ca	4158:4109	1946:1970
H:1-Na:1-O:1-X:1	W:As:Mo:Si:Al:I	7816:9103:4488:2250:3776:2658	1720:1847:1849:1886:1900:1910
F:6-Na:2-X:1	Si:Ti:Zr	902:7098:7384	1750:1784:1933
H:10-O:8-X:2	Rh:Ir:Cr	1484:7408:3726	1966:1915:1815
C:6-H:3-N:3-O:3-X:4	H:O:N	9281:3:5128	1837:1910:1809
C:7-H:4-N:2-O:3-X:4	H:O	4922:3386	1837:1764
C:7-H:4-O:3-X:1	C:Cu	3161:6238	1849:1889
C:7-H:4-O:3-X:2	Na:N:Br:Cl:H:I	5730:9289:3858:3857:2850:8070	1908:1844:1914:1990:1776:1922
C:14-H:16-N:1-X:1	N:Cl	7080:10762	1905:1993
C:7-H:4-O:3-X:4	H:O	2558:1924	1822:1862
C:18-H:35-O:1-X:1	H:N	5919:6194	1950:1990
C:4-H:9-X:1	Br:Cl:H:I	6202:10552:5350:5893	1990:1804:1966:1876
C:1-N:1-Tl:1-X:1	O:S	8501:8454	1835:1874
C:4-H:8-Cu:1-O:6-X:1	C:O	5253:3814	1886:1972
C:9-H:9-Br:2-X:1	Br:H	11151:11194	1798:1962
C:4-K:2-N:4-S:4-X:1	Hg:Pt:Pd	9843:5805:10367	1845:1800:1743
H:4-K:2-Mg:1-Mo:1-O:10-X:1	Cr:Mo	10463:10411	1964:1965
Co:1-S:4-X:1	Mo:W	1050:1123	1995:1822
C:13-H:10-N:1-X:1	H:Cl	5107:7069	1999:1739
C:12-H:16-O:17-X:3	Ni:Pb	3573:11289	1953:1744
C:15-H:18-O:4-X:2	H:O	9656:11158	1902:1968
C:15-H:18-O:4-X:3	C:O	6227:10680	1744:1880
C:5-H:7-O:4-X:1	Cl:H:I:Br	10045:64:10001:10052	1708:1805:1853:1815
C:4-H:4-Li:1-O:6-X:1	Na:H:Li	10484:9854:1850	1894:1775:1888
C:3-H:10-O:1-X:1	S:C:Sn	9693:1505:7699	1866:1762:1888
S:4-Sb:2-X:1	S:Fe	480:1295	1837:1771
C:4-H:12-O:4-X:2	C:N	8574:1551	1819:1824
C:1-H:1-Cl:1-O:2-S:1-X:2	Cl:H	4025:7700	1807:1715
C:16-H:14-N:3-O:4-X:1	N:H	7631:8084	1807:1884
Ca:1-Cd:1-Cl:6-X:1	Cd:Ca	6044:6095	1936:1860
C:8-H:6-X:2	H:O	2708:9740	1750:1859
H:8-O:11-Te:2-X:2	K:Na	2119:2108	1837:1976
C:8-H:6-X:4	H:O	6709:1925	1992:1783
H:12-N:4-Pt:1-X:2	Br:I:Cl	3790:3791:2872	1712:1824:1851
H:3-N:1-O:4-X:1	S:Ru	3907:7464	1921:1887
C:7-H:4-O:6-S:1-X:1	Ba:Cu	6559:6772	1854:1740
H:12-N:4-Pt:1-X:4	I:Br:Cl	9797:9930:2646	1880:1813:1790
Ca:1-F:6-H:4-O:2-X:1	Si:Sn:Ti	918:7156:1054	1745:1847:1755
C:8-H:5-N:1-O:3-X:2	H:Cl:Br	3101:2942:2943	1955:1803:1819
C:6-H:6-Cl:1-X:5	H:Cl	9154:1072	1835:1873
C:5-H:6-N:1-O:3-X:1	H:N	6741:3463	1795:1842
C:1-H:6-N:2-O:3-X:1	Pd:Cu	5664:3734	1851:1909
C:7-H:5-N:1-O:3-S:1-X:4	O:H	7005:8843	1747:1726
C:1-H:6-N:2-O:3-X:2	N:C:H	11328:2552:76	1741:1990:1732
C:2-H:7-N:1-O:3-X:1	S:C	1378:9547	1984:1876
C:6-H:3-Cl:3-N:1-X:1	H:N	3692:10766	1967:1797
C:2-H:7-N:1-O:3-X:2	O:C	3420:1532	1963:1944
C:6-H:1-Br:1-N:1-O:2-X:3	H:Br	8837:10134	1703:1795
C:6-H:6-K:3-O:15-X:1	Sb:Mn:Fe	10473:7051:2769	1855:1908:1749
C:6-H:4-N:2-X:1	H:Br	9753:10585	1793:1703
O:8-S:2-X:1	Sn:Th:Zr:U:Ir:Pt	2209:1577:1016:3175:1470:380	1963:1958:1782:1764:1950:1831
C:9-H:7-O:7-X:1	H:N	5524:10701	1899:1965
C:6-H:4-N:2-X:2	Br:C	10725:8188	1993:1701
C:6-H:4-N:2-X:4	H:Br:O	8142:10733:2977	1945:1975:1986
C:10-H:7-N:1-X:2	H:O	3425:2266	1801:1874
C:14-H:7-O:4-X:1	H:Br	4644:9271	1952:1906
C:6-H:4-N:2-X:6	O:H	8053:5509	1906:1928
H:18-O:10-X:1	Sr:Ba	933:930	1870:1994
Cl:2-O:13-X:4	Cl:S	3610:7783	1916:1705
C:10-H:17-N:1-O:2-X:2	C:H	2825:5918	1795:1861
Mg:1-Na:1-O:4-X:1	P:As	4816:4817	1891:1971
C:6-H:4-O:2-X:2	Cl:H	4872:3139	1805:1905
C:6-H:4-O:2-X:4	H:O:N	7094:8204:8587	1840:1810:1894
C:6-H:4-O:2-X:6	N:H	10187:3697	1892:1942
C:9-H:18-O:2-X:1	O:C	6208:3108	1959:1808
C:3-H:6-Na:1-O:4-S:1-X:1	Cl:H	10805:6254	1840:1860
C:10-H:6-N:2-O:3-X:1	O:S	3888:2569	1881:1991
C:4-H:8-Br:1-X:1	Br:H	8793:6202	1925:1990
C:9-H:8-Br:1-O:4-X:1	Br:N	8840:10697	1761:1926
C:2-H:5-N:1-S:1-X:1	O:C	9353:4220	1810:1751
Al:1-H:12-O:6-X:3	Br:I	6873:6597	1729:1714
C:6-H:4-Cl:2-O:1-X:1	C:O	5548:4872	1837:1805
C:8-H:12-O:2-X:2	C:O:H	3091:3158:9210	1897:1768:1778
H:20-N:4-O:8-S:1-X:1	Zn:Cd	2754:3526	1841:1836
C:8-H:12-O:2-X:4	C:H	11337:2918	1796:1816
Cl:6-Pt:1-X:1	Ba:Ca	1436:1586	1886:1873
C:9-H:14-O:5-X:1	O:S	5:2933	1847:1721
C:8-H:12-O:2-X:5	C:O	11167:5287	1938:1965
Cl:6-Pt:1-X:2	Li:Cs:H:Rb:Tl:K:Na	6300:7768:427:7949:9086:125:1957	1936:1881:1995:1724:1866:1904:1747
N:1-P:1-X:1	O:H:Cl:N	4112:1969:8992:6586	1917:1853:1778:1769
C:8-H:12-O:2-X:6	C:H	995:9559	1781:1760
C:12-H:6-O:8-X:4	O:Cl	3099:11292	1887:1961
C:3-H:5-Na:1-X:3	O:C	7329:9691	1800:1755
K:2-O:4-S:2-X:2	H:O	3559:622	1749:1783
C:12-H:14-O:3-X:2	O:H	3854:2824	1788:1906
C:4-H:3-O:6-X:1	Cr:H	8663:1379	1953:1970
C:10-H:20-O:5-X:1	Cu:C	1997:5920	1744:1779
C:12-H:14-O:3-X:6	C:H	5703:6405	1788:1943
O:3-S:1-Zn:1-X:1	O:S	355:3194	1850:1789
C:4-H:16-Cu:1-O:5-X:4	O:C	2433:5998	1964:1813
C:12-H:10-O:6-X:2	H:S	6989:9261	1723:1899
Cl:3-H:15-N:5-X:1	Rh:Co	6073:5191	1855:1926
C:22-H:40-Br:1-O:2-X:1	H:Br	10545:10577	1975:1928
H:1-O:1-Th:1-X:1	Cl:Br	1581:1618	1947:1929
H:4-N:2-O:12-Pb:2-X:2	C:N	2672:4840	1977:1962
H:3-N:1-X:1	H:Na:O	2160:9002:9666	1869:1907:1765
C:8-H:4-N:1-O:2-X:1	Br:Cl:Ag:H	2955:2954:4693:2049	1794:1819:1741:1942
C:4-H:4-N:2-O:2-X:2	H:O	3074:2596	1916:1907
Co:1-O:4-X:1	S:W:Mo	897:2310:8599	1712:1856:1939
C:5-H:4-N:4-O:4-X:2	H:C	8836:8845	1970:1927
Co:1-O:4-X:2	C:Co:Al:N	735:108:4730:4503	1976:1729:1999:1932
C:2-Cl:4-O:1-X:2	H:Cl	2916:2919	1845:1964
C:2-H:6-N:1-O:2-X:1	N:H	6402:704	1814:1979
C:4-H:10-O:3-P:1-X:1	Br:Cl	11073:11312	1913:1835
C:6-H:4-Cl:2-N:1-X:1	H:Cl	4060:3692	1871:1967
C:3-Br:5-O:1-X:1	Br:H	5917:4413	1891:1927
N:1-O:1-X:1	O:P:Br:C:Cl:N	298:4112:7703:2944:1843:104	1810:1917:1803:1938:1929:1713
O:8-P:2-X:3	Mg:Hg:Ni:Cu:Cd:Sr:Pb:Ca:Ba:Zn:Co:Fe	5142:2056:8949:2044:633:6505:4752:1007:1402:1645:1856:1276	1974:1942:1926:1717:1705:1774:1800:1750:1861:1936:1701:1838
Cl:1-N:1-O:1-X:1	Cl:O	4120:6003	1959:1766
N:1-O:1-X:2	O:Br:Cl	2945:7513:4120	1905:1852:1959
O:1-Os:1-X:1	O:H	1421:4287	1743:1867
N:1-O:1-X:3	Br:H	7514:9666	1868:1765
C:3-H:4-Cl:1-X:1	H:Cl:Br	7105:7381:7265	1816:1958:1850
Al:1-F:6-X:3	Li:Na:K	928:936:6332	1846:1889:1799
C:3-H:4-Cl:1-X:3	Br:Cl:H	7956:9529:10013	1911:1921:1948
C:7-H:2-Cl:3-O:2-X:1	H:Cl	4029:10696	1916:1891
As:1-H:1-K:1-O:4-X:1	H:As:K	809:4544:788	1942:1741:1758
C:17-H:21-N:1-X:4	C:O	6431:2573	1817:1843
C:4-H:7-O:3-X:1	Na:H:N	11307:5277:1532	1917:1733:1944
C:22-H:40-O:2-X:2	O:H:Br	10579:9549:10577	1734:1737:1928
O:1-S:2-X:2	Sb:O	236:35	1931:1715
C:22-H:40-O:2-X:4	H:Br	4426:10580	1831:1980
I:2-O:8-X:1	Hg:Mg:Cd:Co:Sr	2405:10817:11080:10999:10973	1791:1837:1766:1929:1808
C:5-H:12-X:1	N:O:S	6969:2911:3894	1986:1764:1789
C:5-H:12-X:2	C:O	4264:6397	1877:1816
C:8-H:7-Cl:1-O:2-X:1	C:O	4867:3379	1887:1802
C:12-H:12-N:2-O:4-X:2	C:H	4888:7638	1919:1993
C:4-H:4-Na:2-O:3-X:3	C:O	5730:176	1908:1916
C:8-H:5-Br:2-N:1-O:1-X:2	O:H	2943:7622	1819:1799
C:6-K:4-N:6-X:1	Co:Fe:Ir	10847:75:2080	1725:1833:1782
Fe:1-S:1-X:1	Fe:S:As	925:109:2343	1712:1787:1829
C:10-H:16-X:1	O:C	6:9235	1745:1956
C:9-H:11-O:2-X:1	N:H	5328:6720	1774:1734
C:10-H:16-X:2	H:N	2815:8607	1858:1940
C:6-H:4-I:2-N:2-X:2	Cl:Br	10732:10743	1901:1760
C:10-H:2-X:6	O:H	5296:1965	1977:1733
C:10-H:16-X:6	C:H:O	9610:5065:9186	1878:1813:1725
Ca:1-O:4-X:1	S:W:Mo:Cr:Se:Sn	544:558:10423:3713:7479:7155	1798:1771:1794:1732:1890:1830
Ca:1-O:4-X:2	As:N:C:Cr:Cl	2500:3910:1634:6287:7103	1823:1963:1837:1770:1889
C:16-H:40-Cl:6-Pt:1-X:2	Sb:P:As	8115:6643:8475	1824:1880:1956
K:1-O:4-S:1-X:1	K:H:Li	465:225:9845	1744:1761:1831
C:4-H:5-K:1-O:4-X:2	H:O	3050:67	1789:1821
H:2-O:5-S:1-X:1	Zn:Mg:Cu:Cd:Hg:O	2211:2464:2314:6065:5628:2085	1802:1796:1995:1865:1883:1714
H:2-O:5-S:1-X:2	Li:H	10269:6038	1891:1706
C:9-H:8-O:1-X:1	O:C	2151:2188	1940:1753
C:9-H:8-O:1-X:2	O:H	3159:4863	1988:1917
C:3-H:3-O:5-X:1	N:H	9220:5355	1707:1849
C:9-H:8-O:1-X:4	O:H	10689:6220	1839:1912
C:2-H:6-O:7-X:1	Cd:Ca:Mn	2434:6307:7043	1912:1881:1741
C:3-H:6-Cl:2-O:2-X:1	C:Ca	3843:2025	1746:1964
H:8-N:4-O:2-P:2-S:2-X:1	Cu:Cd	9522:9538	1931:1992
C:16-H:10-O:4-X:2	O:H	9635:6218	1708:1839
Cl:1-H:3-N:1-X:1	Cu:H	5675:31	1805:1897
C:9-H:8-O:1-X:6	O:H	5524:4884	1899:1807
C:4-H:6-I:1-O:2-X:1	I:H	8020:7352	1781:1936
C:2-H:1-Cl:2-X:1	Cl:H	9195:2804	1772:1917
C:3-H:5-Br:2-X:1	Cl:Br:H:N	6647:6646:6686:9531	1982:1727:1730:1846
C:2-H:1-Cl:2-X:3	Cl:H	2915:2291	1911:1711
C:6-H:5-N:3-O:4-X:1	C:O	7305:1539	1747:1846
C:8-H:12-O:14-Sr:1-X:2	H:Na:K	8741:1907:1905	1734:1922:1794
H:8-N:2-W:1-X:4	O:S	333:1104	1824:1773
H:20-O:9-Pt:1-X:6	Br:I	1173:1890	1820:1871
H:6-K:2-O:10-X:2	W:U	6581:5028	1905:1928
H:2-N:1-O:4-S:1-X:1	K:H	3982:3907	1969:1921
B:4-H:12-O:13-X:2	K:Rb	5058:8764	1827:1819
C:4-H:14-N:4-O:7-Pt:1-X:1	O:Mg	9981:4309	1890:1923
O:12-Se:3-X:2	Al:Cr	655:7446	1780:1972
C:8-H:3-N:1-O:1-X:4	H:O	3855:3374	1773:1881
H:18-Na:3-O:9-Sb:1-X:4	S:Se	791:6928	1700:1735
Ba:1-O:3-S:1-X:1	O:S	464:3234	1705:1903
C:4-H:16-Cu:1-N:2-O:4-X:2	N:O	8354:286	1977:1894
C:12-H:12-X:2	H:N:O:C	2934:4073:11337:9376	1982:1765:1796:1946
F:6-K:1-X:1	Sb:As	10265:10271	1927:1847
C:3-Cl:3-O:1-X:3	H:Cl	9705:7256	1849:1947
C:4-Cl:5-O:4-X:1	H:Cl	2924:4427	1803:1909
Li:2-O:3-S:1-X:1	O:S	575:3942	1865:1701
C:6-H:5-Cl:1-N:1-X:1	Cl:N:H	4060:10166:4061	1871:1803:1807
H:1-O:1-S:3-X:4	Fe:N	3758:3979	1894:1807
C:12-H:12-X:6	C:H:O	9236:10637:6989	1700:1900:1723
C:6-H:6-O:3-Pb:1-X:1	O:C	6235:2951	1966:1711
C:14-H:4-N:4-O:4-X:8	O:H	3116:4685	1770:1733
Cd:1-X:1	O:S:Se:Te	2444:640:9349:6498	1720:1835:1949:1828
Cd:1-X:2	Br:F:Cl:I:P	1750:7417:3447:1538:7771	1809:1835:1926:1715:1959
C:3-H:7-O:2-X:1	Cl:H:N:Br	6022:6840:1746:6386	1913:1872:1895:1923
C:6-H:5-Cl:1-O:1-X:1	O:C	3896:1938	1915:1794
C:6-H:14-O:1-X:1	O:C	4256:3824	1714:1817
C:7-H:3-Cl:2-O:2-X:1	H:Cl	3660:4029	1732:1916
C:6-H:5-Cl:1-O:1-X:2	H:N	7273:11305	1858:1789
C:6-H:14-O:1-X:2	O:N	9194:10029	1916:1746
O:1-P:2-X:2	P:O	2470:638	1814:1804
C:6-H:14-O:1-X:3	O:C	8570:4884	1865:1807
C:6-H:14-O:1-X:5	C:O	7000:3836	1740:1790
C:7-H:16-O:4-X:3	O:C	4416:8	1788:1968
H:6-Na:2-O:3-Zn:1-X:4	I:Cl	2617:1800	1976:1747
Au:1-Br:4-X:1	Na:K	1698:2095	1834:1925
C:2-H:2-Br:3-X:1	Br:H	8190:6690	1718:1891
Cl:5-H:2-Ir:1-O:1-X:2	Li:Na:Cs:Rb	9056:9055:9053:9054	1808:1941:1993:1803
C:18-H:14-N:2-O:1-X:2	N:O	10234:6469	1936:1983
C:6-H:10-O:4-X:1	Cu:C:O	5994:3155:4016	1841:1916:1994
C:6-H:10-O:4-X:2	C:H:S:O	6381:8574:5077:2415	1852:1819:1738:1886
C:6-H:10-O:4-X:3	C:O	4040:2149	1707:1924
C:6-H:10-O:4-X:4	C:N:H:O	4746:8791:8570:287	1730:1782:1865:1714
C:6-O:4-X:10	Cl:H	2926:1533	1786:1962
C:7-H:12-O:7-X:4	H:C	4416:5526	1788:1700
C:10-H:11-O:4-P:1-X:2	H:C	9283:9752	1966:1793
C:4-H:10-N:4-O:5-Pt:1-X:1	Sr:Ca:Mg	4319:4307:6328	1774:1784:1914
C:8-H:7-N:1-O:4-X:1	O:C	3381:4242	1865:1734
C:8-H:7-N:1-O:4-X:2	N:H	8426:2439	1768:1800
C:8-H:20-P:1-X:1	I:Br:Cl	6758:7682:6787	1969:1743:1878
H:4-Hg:1-Na:1-O:2-X:3	Cl:Br	1605:1688	1847:1702
C:5-H:8-N:1-O:4-X:1	H:Ag	5283:9914	1802:1768
Ca:1-H:4-O:6-X:1	S:Se:Cr	3908:7413:8285	1936:1839:1980
Co:1-I:2-O:3-X:3	Co:O	2787:2641	1986:1759
H:14-O:11-Se:1-X:1	Zn:Fe	1367:7921	1945:1981
Ca:1-H:4-O:6-X:2	P:B	4144:5484	1707:1919
S:1-Zn:1-X:4	O:S	355:7548	1850:1807
H:24-K:1-O:20-S:2-X:1	Cr:Al	1437:781	1903:1742
C:10-H:12-O:5-X:6	C:H	9259:10571	1927:1733
C:12-H:30-O:22-U:2-X:1	Ba:Sr	3512:6931	1789:1917
C:1-H:6-O:6-X:1	Mg:C:Ca	1020:2692:1822	1728:1782:1910
C:5-H:10-N:2-O:1-X:2	H:O	5280:4623	1717:1869
C:8-H:16-X:1	O:C	5279:3098	1976:1959
C:8-H:16-X:2	C:H:O:Cl	18:4836:2918:6967	1759:1857:1816:1972
C:8-H:16-X:3	C:O	9235:8821	1956:1801
C:5-H:10-N:2-O:1-X:4	H:O	9558:7605	1962:1831
C:6-H:4-N:3-O:3-X:1	Br:H:Cl	10189:8117:10188	1854:1934:1909
C:2-H:5-N:1-O:1-X:1	O:S:C	771:9353:4719	1914:1810:1776
C:2-H:5-N:1-O:1-X:2	C:O:H	6797:4400:8528	1763:1728:1934
C:12-H:8-Cl:6-N:4-Pt:1-X:2	Cl:Br:H	10769:10207:10216	1748:1790:1934
C:17-H:21-N:1-O:3-X:1	O:C	2573:5346	1843:1862
H:4-K:2-O:10-S:2-X:1	Cd:Be:Mn	11007:3269:6383	1975:1911:1758
C:7-H:7-O:5-X:3	N:H	4892:7357	1869:1982
Ag:1-N:1-O:1-X:1	O:C	1397:1515	1712:1882
C:20-H:26-N:2-X:2	H:N	7614:4683	1892:1724
C:1-H:5-Cl:1-O:1-X:2	N:C	4443:6492	1723:1863
C:4-H:10-N:2-O:5-X:1	C:Cd:Cu	7605:5460:3072	1831:1907:1844
C:17-H:32-O:3-X:1	C:O	10541:7995	1810:1778
C:8-H:8-Br:1-N:2-O:2-X:1	Cl:Br	10747:10749	1853:1948
F:4-H:8-N:2-O:2-X:1	W:Mo	1040:10276	1796:1970
C:3-H:9-Cl:1-X:1	Pb:C	8499:10552	1984:1804
C:2-H:7-N:1-X:1	O:C	8528:6811	1934:1803
C:7-H:13-N:1-O:1-X:2	C:H:O	5343:6008:3862	1915:1729:1839
As:2-Ca:2-O:6-X:1	O:Ca	6947:2489	1885:1864
C:2-H:7-N:1-X:2	N:O:C	5906:704:4268	1827:1979:1795
C:7-H:4-Br:3-O:2-X:1	N:H	10160:4656	1716:1864
Ni:1-O:3-S:1-X:1	S:O	3233:887	1996:1956
C:6-H:3-Br:1-N:3-X:1	H:Br	10090:10145	1734:1966
Br:2-H:12-N:4-Pt:1-X:2	Cl:Br	4526:9930	1762:1813
C:7-H:13-N:1-O:1-X:6	H:C	5313:6730	1976:1736
N:3-O:9-X:1	Cr:La:Al:Co:Fe:Rh:Tl:Bi	607:7073:1271:2214:2027:7378:8922:364	1833:1889:1857:1935:1823:1829:1740:1975
C:1-H:3-O:2-S:1-X:1	Cl:O:H	7700:11125:6968	1715:1744:1934
Cl:2-H:2-O:7-X:1	Pb:Ba	3580:3484	1768:1969
C:4-H:5-Na:1-O:3-X:3	C:O	5729:1854	1952:1730
C:10-H:16-O:2-X:2	O:C:H	8:3100:3108	1968:1737:1808
Ca:1-X:1	Se:O:S	624:510:463	1814:1817:1992
